1,0,예슬언니!
2,0,30대를 앞두고 남은 20대를 걱정하고 조급해하는 사람들에게 하고 싶은 말은 무엇인가요?????
3,0,2. 꼭 무언가를 이뤄야지만 가치있는 인생인가요??
4,1,? 언니만의 인간관계 팁은? ? 그리고 예를 들어 만나면 불편하고 싫은 사람이 있는데 상황때문에 그 관계를 계속 이어나가야 하는 상황이면 어떻게 하실 건 가요??
5,2,"1. 학창시절 추억 썰 듣고 싶어여??
2. 나의 일상에 영감을 주는 사람은?
3. 우리나라에서 가장 좋아하는 장소는?
4. 다음 해보고 싶은 타투는?
자세히 보기"
6,3,언니는 우울함이 찾아왔을 때 어떻게 대처하시나요?
7,3,코로나 덕분에(?) 집에 있는 시간이 많아지면서 전보다 우울해지는 시간이 많아졌어요.
8,3,"언니한테 우울함이란 무엇인지, 그리고 언니만의 현명한 대처법을 알고 싶어요!"
9,4,언니 최근에 사신것중에 제일 잘샀다!!
10,4,생각하는 템이 뭔가용?
11,5,인생에서 진짜 친구가 없는 것 같아요.
12,5,그게 제 잘못일수도 있지만 외로움이 느껴지고 슬프기도 해요.
13,5,이런 고민도 들어주실 수 있을까요?
14,5,?? 항상 잘 보고 있습니다
15,5,??
16,6,앞으로 도전해보고 싶은 꿈이 있다면??!????
17,7,내가 이걸 이시간에 본건 운명이야 언니 궁금한거 너무 많은데 하나만 묻자면 언니의 긍정 마인드는 어디서 나오는지 넘 궁금해요
18,7,???
19,8,"예슬언니는 올해, 그리고 앞으로 10년안에 꼭 이것만은 극복해보려는게 있다"
20,8,던가 꼭 해보고싶은게 있다면 무엇인가요!
21,9,"????배우 예슬언니에게
?대본 외우는 꿀팁이나 방법
?가장 기억에남는 드라마 촬영씬
?앞으로 해보고 싶은 드라마 장르나 역할

???♀???인간 예슬언니에게
??한예슬의 10대,20대는 어땠는가요?"
22,9,??자신의 10년뒤 모습이 어떨거 같나요?
23,9,"??인생에서 가장 힘든순간이 있으셨다면 어떻게 버틸수있었는지
??배우를 하지 않았다면 무엇을 하고 있었을지

????유튜버 예슬언니에게
??유튜브 잘했다고 생각드는 순간은?
??유튜브를하면서 달라진 점은?
??유튜브를 시작하면서 노력하고있는점은?(편집이나 컨텐츠등등..)

??인간으로서의 한예슬???♀? , 배우로서의 한예슬?? , 유튜버로서의 한예슬??의 차이점과 앞으로의 비전,계획은?"
24,10,정말 완벽한 외모를 가진 누님에게도 본인에게 부족함을 느끼나요???
