,댓글인덱스,추가일시,전체인덱스,채널명,채널인덱스,댓글내용,좋아요
0,1,13 11:58:52,0,영국남자,1,배우분들 어떤 경로 로 섭외하나요,870
1,2,13 11:58:52,0,영국남자,1,진짜 궁금합니다,870
2,3,13 11:58:52,0,영국남자,1,그리고 진심으로 이분만큼은 존경스러웠다하는분 계신가요,870
3,4,13 11:58:52,1,영국남자,2,인생 최대의 방송사고 알려줘요,675
4,5,13 11:58:52,2,영국남자,3,조쉬와올리가 한국을 넘나 사랑하는것을 알지만 그래도 가끔 한국이나 한국사람들에게 실망감이나 서운함을 느꼈던 순간이 있다면,1600
5,6,13 11:58:52,3,영국남자,4,조쉬와 올리가 가장 탐나는 한국이름은,461
6,7,13 11:58:53,4,영국남자,5,How do you get to interview all these famous people like Will Smith윌스미스처럼 유명한 사람들과 어떻게 인터뷰를 하게 되나요,433
7,8,13 11:58:53,4,영국남자,5,계속 궁금해하던거,433
9,10,13 11:58:59,6,영국남자,7,조쉬는 자기가 잘생긴거 아나요,354
13,14,13 11:59:00,10,영국남자,11,토트넘 팬 죠니의 근황이 궁금합니다,112
16,17,13 11:59:06,13,영국남자,14,조쉬랑 올리 한국이름은 없나요,78
18,19,13 11:59:06,14,영국남자,15,조쉬와 올리가 즐겨보는 유투브 채널은 무엇인가요,73
20,21,13 11:59:07,16,영국남자,17,조쉬랑 올리는 응원하는 축구팀이 어디에요,59
21,22,13 11:59:07,17,영국남자,18,미래에 아이가 생긴다면 영국 한국 또는 다른 나라에서 교육시킬 생각계획이 있나요,57
22,23,13 11:59:07,18,영국남자,19,현재의 아스날에 대해 어떻게 생각하시나요,55
24,25,13 11:59:07,20,영국남자,21,올리랑 가비 물에 빠지면 누구 먼저 구할거에요,150
26,27,13 11:59:08,22,영국남자,23,흑인황인들을 향한 인종차별 이외에 혹시 백인들도 일상생활에서 인종차별을 당하는지,46
27,28,13 11:59:08,22,영국남자,23,당한다면 어떤경우에,46
28,29,13 11:59:08,23,영국남자,24,한국 오기전에 한국 사람들에 대한 편견이 있으셨나요,43
29,30,13 11:59:08,23,영국남자,24,그리고 그 편견이 어떠한 이유로 생기게 된 건지 궁금해요,43
34,35,13 11:59:08,26,영국남자,27,게스트 초대비용이랑 영상제작비뺀 순수익과 한달 총수익이 궁금하네요,27
35,36,13 11:59:08,27,영국남자,28,한국음식중에 이건 영국에서 팔면 대박난다 하는 음식이 뭐라고 생각해요,26
37,38,13 11:59:09,28,영국남자,29,형 해외스타들 섭외력 궁금해요,24
40,41,13 11:59:09,30,영국남자,31,영국남자 채널의 궁극적인 목표는 무엇인가요,23
43,44,13 11:59:15,32,영국남자,33,소개하는 음식마다 다 좋아한다고 하지만 제일 좋아하는 한국 음식은,17
46,47,13 11:59:16,35,영국남자,36,얼마나 잘되나요,16
47,48,13 11:59:16,35,영국남자,36,키위나 복숭아의 털들도 잘 짤리나요,16
57,58,13 11:59:28,44,영국남자,45,그땐 좀 힘들었어 라고 생각나는 순간이나 아쉽게 엎어진 에피소드도 있는지 궁금합니다,12
61,62,13 11:59:29,47,영국남자,48,객관적으로 외국에서 아시아인에 대한 차별이 어느 정도인지 궁금해요,12
63,64,13 11:59:35,49,영국남자,50,올리가 가장 최근에 배운 한국어 단어와 좋아하는 단어는 무엇인가요,11
65,66,13 11:59:35,50,영국남자,51,이런식으로 한국 음식이 먹고 싶고 생각 나실 때가 있나요,10
67,68,13 11:59:35,52,영국남자,53,왜 잘생겼어요,9
68,69,13 11:59:35,53,영국남자,54,이제까지 촬영하면서 가장 힘들었던점은,8
70,71,13 11:59:41,55,영국남자,56,한국에서 살생각은 없어요,7
73,74,13 11:59:42,58,영국남자,59,올리가 어떻게 결혼까지 생각하게 됐는지 궁금해요,6
74,75,13 11:59:42,59,영국남자,60,면도 광고 촬영하면 면도를 총 몇번 정도 하나요,6
75,76,13 11:59:42,59,영국남자,60,그리고 수염이 없어도 계속도 면도를 하나요,6
77,78,13 11:59:43,61,영국남자,62,한국의 안좋은 점은 뭐라고 생각하나요,6
78,79,13 11:59:43,62,영국남자,63,새해 목표 있나요,6
79,80,13 11:59:43,63,영국남자,64,이전 영상에 나오신 분들 근황이 어떤지 궁금해요,5
82,83,13 11:59:43,65,영국남자,66,프리미어리그 중 가장 좋아하는 팀은,5
84,85,13 11:59:44,67,영국남자,68,요즈음에 즐겨읽는 책이 있나요,5
86,87,13 11:59:44,69,영국남자,70,2020년도에 조쉬님이 만나 뵙고싶은 배우님이 있으신가요,5
87,88,13 11:59:44,69,영국남자,70,그리고 그 배우님을 뵙고싶은 이유도 알려주세요 ,5
88,89,13 11:59:50,70,영국남자,71,외국은 한국의 군대 시스템에 대해 어떻게 생각하는지 궁금해요,5
92,93,13 11:59:56,73,영국남자,74,올리는 한국말을 언제쯤 조쉬만큼 할까요,4
93,94,13 11:59:56,74,영국남자,75,데이브와 는 언제부터 친구가 됬나요,4
94,95,13 11:59:56,75,영국남자,76,몇개 국어하시나요,4
98,99,13 11:59:57,78,영국남자,79,군대시리즈 또 안하나요 ,3
100,101,13 11:59:57,79,영국남자,80,조쉬와 올리 우정의 비결은 ,3
101,102,13 11:59:57,80,영국남자,81,조쉬와 올리가 한국이름이 있었다면,3
102,103,13 11:59:57,81,영국남자,82,조쉬가 영국 친구들에게 한국 이름을 붙여준다면,3
104,105,13 11:59:57,83,영국남자,84,만약 조쉬가 한국으로 절대 올 수 없는 일이 생겼는데도 절대로 포기할 수 없을 것 같은 한식은 뭔가요,3
105,106,13 11:59:58,84,영국남자,85,여왕님 인터뷰 언제해요,3
107,108,13 11:59:58,86,영국남자,87,조쉬랑올리 두분  취미가 뭐예요,3
111,112,13 12:00:04,90,영국남자,91,유튜브월수입이어떻게되세요,3
112,113,13 12:00:04,90,영국남자,91,게스트분들오실때마다 좋은음식대접하시거나촬영퀄리티가 엄청좋은데 그럴때 써지는 돈이 상당히 크실거같은데 그만큼 월수입이 얼마나 되시는지 궁금해요,3
